name,brand,description
Carrefour Bio Apple Puree 625g,"Carrefour Bio,Carrefour",Apple compote is a fresh fruit dessert that is ideal for enjoying after your meal.It is made from the blend of apple essence that refreshes you after a heavy meal.
Coca Cola Soft Drink - Diet Coke 500 ml Bottle,The Coca-Cola Company,"Diet Coke (also branded as Coca-Cola Light, Coca-Cola Diet or Coca-Cola Light Taste) is a sugar-free and low-calorie soft drink produced and distributed by the Coca-Cola Company. It contains artificial sweeteners instead of sugar."
Coca Cola Zero - 355 ml,The Coca-Cola Company,Carbonated beverage delivers the same classic taste you've always enjoyed without the sugar. Caffeinated soda is a calorie-free beverage with a distinctive flavor. Convenient can is excellent for on-the-go
Nivea soft creme hidratante intensivo,Nivea,"The key to soft, beautiful skin has arrived with NIVEA Soft, Refreshingly Soft Moisturizing Cream. NIVEA Soft is an all-in-one refreshing body cream, face moisturizer and hand cream that delivers long-lasting moisture and soft, supple skin. NIVEA Soft has a refreshingly light formula enriched with Jojoba Oil and Vitamin E for softer, smoother skin without that greasy feel. This fast absorbing moisturizer is perfect for all skin types. Complete your hand washing routine with NIVEA Soft cream and give dry hands the soothing skincare they deserve. To use, smooth NIVEA Soft, Refreshingly Soft Moisturizing Cream onto your skin daily. For best results, apply after showering. NIVEA is proud to be one of the leading companies in the field of skin care products, with more than 130 years of expertise."
Olay Regenerist Micro-Sculpting Cream Fragrance-Free,Olay,A facial cream that nourishes and revitalizes skin.
CeraVe Moisturising Lotion for Dry to Very Dry Skin (US/EU Random Packing Pick) 236ml/8oz,Cerave,"Cerave Moisturizing Lotion (236ml) The CeraVe moisturizing lotion for face and body developed by dermatologists provides intensive moisture and supports the renewal of the skin's protective barrier. Thanks to 3 essential ceramides and hyaluronic acid, the light, non-greasy lotion provides moisture all day long from the first application. It is very suitable both as a body lotion and as a facial care for sensitive, dry skin and neurodermatitis. Without perfume. The independent ECARF institute has confirmed that the CeraVe moisturizing lotion is particularly suitable for the needs of allergy sufferers. Apply generously as often as you like. Suitable for adults and children. Perfume free. Not comedogenic. Confirmed compatibility."
Loreal Paris Infallible 32H Matte Cover Long-Lasting Foundation SPF 30 Ml,L'Oréal Paris,"Combining a high-pigment concentration with a smooth fluid formula, the L'Oréal Paris Infallible 32hr Matte Cover Foundation delivers up to 32 hours of full matte coverage. The liquid foundation blends effortlessly onto the skin to provide a natural-looking, second-skin finish with a lightweight feel. The formula is infused with 4% niacinamide to help reduce the appearance of uneven tone, alongside SPF25 for UV protection. Waterproof and transfer-resistant, the foundation offers long-wearing coverage with a shine-proof finish."
Monster Energy Ultra Gold,MONSTER,"Ultra Gold is a zero sugar energy drink, making it a suitable choice for those who want to avoid consuming excessive calories or experiencing a sugar crash"
Almarai Fresh Laban Full Fat 360ml,Almarai,"Almarai Full Fat Fresh Laban With Added Vitamins 360ml is a refreshing and nutritious drink that is rich in vitamins. Made from full-fat cow's milk, this laban is packed with essential nutrients and probiotics that promote good gut health. Enjoy it on its own or use it as a base for smoothies and other recipes."
L’usine Cheese & Zaatar Puff,L’usine,"L’usine Cheese & Zaatar Puff, a pastry with a soft and smooth texture, with a delicious thyme filling and cheese rich in protein and dietary fiber, is a great breakfast option."
12-x-60g shrimp noodles tom-yum,Mama,"Enjoy the hot and sour flavours of the famous tom yum soup in these noodles. It will be a hit with every family member, so it could be worth stocking the cupboards with it."
Full cream milk,NADA,"Nada Full Cream Milk can be distinguished by the tastier, creamier milk that is obtained from cows that are always kept healthy and happy. The effect of this dedicated love for our cows is pure fresh and creamy."
NESCAFE SPECIAL FILTRE L'Original Flacon de 200g - NestlE - 200 g,Nescafe,This Nescafe Original Imported Decaff Coffee has a weight of 100g . It is Delicious
NES cafE soluble - NescafE - 200 g,Nescafe,It is 100% pure soluble coffee. It has great taste and aroma. each jar makes up to 120 cups. It is a product of brazil.
SPECIAL FILTRE L'Original - NescafE - 100 g,Nescafe,This Nescafe Original Imported Decaff Coffee has a weight of 100g . It is Delicious
NESCAFE CAPPUCCINO SUCRE 280 g,Nescafe,"Bring home the cafE experience with Nescafe Gold Cappuccino instant coffee premix. The special cappuccino premix creates a fine, frothy instant coffee that will make a coffee lover smile with sheer delight. The  Nescafe Gold premix requires minimum time and effort to make, which means that you can have it at any time during the day. You can even customize the drink and have it hot or cold as you like. At Nescafe, we share our global coffee expertise with coffee farmers in south-india and train them in responsible farming at our training centre in coorg. To us, goodness is more than just providing the best quality in a cup – we go ‘beyond the cup’. Usage: follow the instructions on the packaging and mix the coffee powder with hot water to get your own cup of cafE-styled instant coffee right at home. Storage recommendation: Store the product in a cool, dry and hygienic place to keep it in top condition for long. Safety Information: On opening, transfer the contents of the pack into an airtight container. Always use a dry spoon."
Cafe - NescafE - 200g,Nescafe,"NescafE Original Extra forte is the extra strong instant coffee, for those who enjoy starting the day with an extra dose of disposition. It can be prepared with water or milk."
